name,name_ind,Quartz,Plagioclase,Orthoclase,Muscovite,Biotite,Chlorite,Apatite,Pyroxene_Amphibole,Garnet,Epidote,Tourmaline,Zircon,Titanite,Rutile,Ilmenite,Chromite,Fe_oxides,Other_oxides,Other_Silicates,Sulfides,Sulfates,Olivene,Other_REE_Minerals,Carbonates,Clay_Minerals,Clinochlore,AnkeriteAndClay,Unclassified
Pico_Grain_Mount,1,7.9,6,2.8,0.1,0.5,0.3,3.7,3.4,7.1,13.7,0.3,6,21.2,3.1,21.6,0.4,0.1,0,0.1,0,0,0,0.9,0,0,0,0.2,0.3
Upper_Modelo_Alternate_Thin_Section,2,38.5,29.1,24.1,0.5,0.8,0,4.4,0.2,0.1,0,0.1,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0.9,0,0,0.8
Upper_Modelo_Thin_Section,3,38.9,32.6,20.8,1.6,3.1,0.1,0.2,0.8,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0.4,0,0,0.8
Upper_Modelo_Grain_Mount,4,5.8,2.9,1.1,0.7,2.3,2.5,11,0,8.4,0.2,0.1,5.8,1.4,2.2,54,0,0.1,0.1,0,0,0.2,0,1.1,0,0,0,0,0.3
Lower_Modelo_Thin_Section,5,38.7,28.6,24.5,0.9,2.6,0,0.2,0.3,0.1,0,0.1,0,0,0.4,0.1,0,0.1,0,0.1,0,0,0,0,0,2.4,0,0,1
Lower_Modelo_Grain_Mount,6,17,7.1,6.7,0.7,1.1,1.6,31.7,0,11.4,0.1,0.2,16,0,4,0.1,0,0.3,0.1,0,0,0,0,1.2,0,0.3,0,0,0.5
Vaqueros_Thin_Section,7,40.9,28.2,20.2,1.9,2.8,0.1,0,1,0.4,0,0.2,0,0,0.1,0.6,0,0.2,0,0.1,0,0.1,0.3,0,0,1.5,0,0,1.3
Vaqueros_Grain_Mount,8,2.3,0.9,0.7,0.2,0.7,1.2,0.5,0,3.5,0.4,0.1,3.8,1.4,1.7,81.5,0,0.2,0.1,0,0,0,0,0.5,0,0,0,0.1,0.2
Vasquez_Alternate_Grain_Mount,9,3.4,9.9,1.2,0.4,0.9,0.6,4.6,2.1,3.6,33.1,0,1,7.4,3.7,19.3,0,7,0.2,0,0,0,0,0.1,0,0.1,0.2,0.1,1
Vasquez_Alternate_Thin_Section,10,12.9,58.9,10.2,0.9,3,0.4,0.5,7.5,0.2,2.3,0,0,0.3,0.2,0.9,0,0.2,0,0,0,0,0.1,0,0,0.2,0.2,0,0.9
Vasquez_Grain_Mount,11,1.7,7.8,0.7,0.2,2.6,1.5,7.3,4.6,0.6,6.7,0,1.3,1.7,1.1,51.3,0,9.6,0.1,0,0,0.1,0.2,0,0,0.1,0.1,0.2,0.6
Matilija_Thin_Section,12,43.3,28.2,21.1,1.5,1.2,0.2,0.1,0.8,0.1,2,0,0,0.2,0.2,0.1,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0.7
Matilija_Grain_Mount,13,3,4,0.8,0.4,0.5,0.2,0.4,0.1,5,26.8,0.4,1.5,10.4,2.2,26.4,0,15.7,0,0.1,0,0,0.1,1.3,0,0,0.1,0.2,0.4
Juncal_Thin_Section,14,31.8,27.7,16.8,1.4,3,1,0.2,0.2,1.2,0.9,0.5,0,0.2,0.5,0.1,0,0.7,0.1,1,0,0,0.1,0,7.2,0.7,0.1,0.1,4.6
Juncal_Grain_Mount,15,6.7,5.1,2.1,0.8,2.5,3.6,3.1,0.2,9,3.5,0.7,2.8,7.8,15.7,4,0,22.2,1.1,0.4,0,0,0.5,0.6,3.7,0.6,0.1,0.2,3
Granite_Thin_Section,16,36.1,32.5,24.8,3.2,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1
Granite_Grain_Mount,17,38.1,19.5,10.6,3.6,14.9,0.3,0.1,0,0,0,0,0.1,0,0,0,0,10.6,0.6,0,0.1,0,0,0.4,0,0,0,0,0.9